name,address,
Мотодром РОСТО,"+7 (383) 354 24 16, Тульская, 205",5
ЛДС «Бердск»,"+7 (38341) 409 19, +7 (38341) 433 12, Боровая, 103",4
ЛДС «Сибирь»,"+7 (383) 276 34 71, +7 (383) 276 34 69, Богдана Хмельницкого, 23",4
Стадион «Сибсельмаш»,"+7 (383) 353 94 00, +7 (383) 351 00 61, Пархоменко, 2а",8
СК «Спартак»,"+7 (383) 221 12 27, +7 (383) 221 60 36, Крылова, 20",9
Стадион «Спартак»,"+7 (383) 217 01 50, +7 (383) 217 04 74, Фрунзе, 15",8
Стадион СКА,"+7 (383) 203 97 47, Воинская, 1",8
Биатлонный комплекс,"+7 (383) 261 45 33, Биатлонная, 1",8
Спортивный комплекс НГТУ,"+7 (383) 346 27 32, просп. Карла Маркса, 35/1",9
СК Сибирского университета потребкооперации,"+7 (383) 346 18 98, просп. Карла Маркса, 26/2",9
Афалина,"+7 (383) 274 32 18, Курчатова, 13/2",9
Молодость,"+7 (383) 327 03 19, Аксенова, 38",9
Стрелковый клуб ДОСААФ,"+7 (383) 223 07 61, Свердлова, 27а",7
СК Сибирского университета путей сообщения,"+7 (383) 328 03 60, Залесского, 3/1",9
Бригантина,"+7 (383) 220 31 11, ул. 1905 года, 39/1",9
Дворец спорта НГТУ,"+7 (383) 346 41 23, Блюхера, 34",3
Ипподром,"+7 (383) 341 02 81, +7 (383) 341 81 70, Станционная, 97",6
Космос,"+7 (383) 265 97 73, Богдана Хмельницкого, 27/1",2
Стадион «Локомотив»,"+7 (383) 337 97 49, Первомайская, 154",8
Теннисная академия,"+7 (383) 319 66 00, +7 (383) 319 66 66, Красный просп., 79/3",1
Стадион «Чкаловец»,"+7 (383) 265 80 93, Республиканская, 12/1",8
